manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,City,Price,Km,Region
טויוטה,2013,קורולה,1,אוטומטית,1600.0,בנזין,חולון,58000.0,99000.0,מרכז
טויוטה,2015,יאריס,2,אוטומטית,1490.0,בנזין,אורה,63000.0,40000.0,מרכז
פולקסווגן,2011,שירוקו,3,ידנית,1400.0,בנזין,בנימינה גבעת עדה,40000.0,200000.0,צפון
אופל,2015,מוקה X,2,אוטומטית,1400.0,בנזין,טירת כרמל,50000.0,76000.0,צפון
הונדה,2014,JAZZ,2,אוטומטית,1300.0,בנזין,חיפה,47000.0,90000.0,צפון
פורד,2014,פוקוס,2,אוטומטית,1600.0,בנזין,צפת,23000.0,143000.0,צפון
סוזוקי,2012, סוויפט,1,ידנית,1242.0,בנזין,Rehovot,28000.0,105000.0,לא ידוע
ניסאן,2011, ג'וק JUKE,3,אוטומטית,1600.0,בנזין,רעננה,30000.0,169700.0,מרכז
קיה,2019,XCEED,1,אוטומטית,1400.0,בנזין,בת ים,59000.0,128000.0,מרכז
הונדה,2014,CIVIC,1,אוטומטית,1800.0,בנזין,חיפה,52000.0,97000.0,צפון
יונדאי,2019,i20,1,אוטומטית,1400.0,דיזל,ראשון לציון,78000.0,48000.0,מרכז
אאודי,2015, A1,3,אוטומטית,1400.0,בנזין,פתח תקווה,60000.0,120000.0,מרכז
יונדאי,2019,i20,2,אוטומטית,1000.0,בנזין,תל אביב יפו,71000.0,59000.0,מרכז
סיטרואן,2009,C4,1,רובוטית,1997.0,בנזין,גבעתיים,20000.0,122000.0,מרכז
טויוטה,2015,אוריס,3,אוטומטית,1800.0,היברידי,צפת,66500.0,107000.0,צפון
סובארו,2016,אימפרזה,1,אוטומטית,1600.0,בנזין,מודיעין מכבים רעות,50000.0,52000.0,מרכז
וולוו,2008,S60,2,אוטומטית,2400.0,בנזין,הרצליה,33500.0,133000.0,מרכז
רנו,2014, מגאן אסטייט / גראנד טור,2,אוטומטית,1500.0,בנזין,רעננה,33000.0,180000.0,מרכז
סקודה,2013, סופרב (2013),4,אוטומטית,1800.0,בנזין,אור עקיבא,29000.0,225000.0,מרכז
סקודה,2016, סופרב (2016),2,טיפטרוניק,1800.0,בנזין,נתניה,94000.0,139000.0,מרכז
אאודי,2019, RS5,4,אוטומטית,4500.0,גז,חולון,65000.0,7000.0,מרכז
יונדאי,2018,איוניק,2,אוטומטית,1600.0,היברידי,עפולה,90000.0,111000.0,מזרח
סקודה,2013, אוקטביה (2013),3,אוטומטית,1800.0,בנזין,אופקים,35000.0,160000.0,דרום
טויוטה,2013,פריוס,3,אוטומטית,1800.0,היברידי,בית שמש,44000.0,201000.0,מזרח
אאודי,2014, A3,2,אוטומטית,1400.0,בנזין,קיסריה,73000.0,185000.0,מרכז
טויוטה,2013,ספייס,3,אוטומטית,1300.0,בנזין,בני ברק,31000.0,123600.0,מרכז
סקודה,2017,אוקטביה,2,אוטומטית,1000.0,בנזין,שפרעם,68000.0,139000.0,צפון
קיה,2017,פורטה,1,אוטומטית,1498.0,בנזין,כרמיאל,42700.0,195000.0,צפון
סקודה,2015, אוקטביה (2015),3,אוטומטית,1400.0,בנזין,אשדוד,58000.0,158.0,דרום
הונדה,1999,CIVIC,3,אוטומטית,1600.0,בנזין,בני ברק,20000.0,155000.0,מרכז
רנו,2013, פלואנס,2,אוטומטית,1500.0,דיזל,כרמיאל,30000.0,190000.0,צפון
סקודה,2016," פאביה
 (2016)",1,אוטומטית,1200.0,בנזין,קרית מוצקין,69000.0,50000.0,צפון
מאזדה,2010, 5,3,אוטומטית,2000.0,בנזין,רחובות,35000.0,303170.0,מרכז
מאזדה,2015, 3,3,אוטומטית,1500.0,בנזין,ירושלים,36999.0,200000.0,מרכז
הונדה,2010,ACCORD,3,אוטומטית,2000.0,בנזין,נתניה,33000.0,189300.0,מרכז
קיה,2016,פיקנטו,2,אוטומטית,1250.0,בנזין,חולון,40000.0,73000.0,מרכז
פורד,2013,פוקוס,3,אוטומטית,1600.0,בנזין,הוד השרון,22500.0,120000.0,מרכז
קיה,2014,סראטו,1,טיפטרוניק,2400.0,בנזין,הרצליה,69000.0,125000.0,מרכז
מרצדס,2005, SLK,8,אוטומטית,3500.0,בנזין,ירושלים,80000.0,250000.0,מרכז
הונדה,2010,CIVIC,3,אוטומטית,1800.0,בנזין,רחובות,29000.0,140000.0,מרכז
סוזוקי,2014, SX4,1,אוטומטית,1600.0,בנזין,הוד,59000.0,49000.0,מרכז
קיה,2016,פיקנטו,1,אוטומטית,1248.0,בנזין,אלעד,40000.0,87000.0,מרכז
סובארו,2015,אימפרזה,2,אוטומטית,1500.0,בנזין,ראש העין,51000.0,70233.0,מרכז
סקודה,2015," פאביה
 (2015)",2,אוטומטית,1200.0,בנזין,קדרון,47000.0,146000.0,מזרח
טויוטה,2017,קורולה,5,אוטומטית,1600.0,בנזין,ירושלים,59000.0,115000.0,מרכז
יונדאי,2017,אלנטרה,2,אוטומטית,1600.0,בנזין,פתח תקווה,68000.0,53000.0,מרכז
אאודי,2014, S7,1,אוטומטית,2800.0,בנזין,אשדוד,55000.0,100000.0,דרום
סוזוקי,2018, בלנו,1,אוטומטית,1200.0,בנזין,חולון,74000.0,74000.0,מרכז
ב.מ.וו,2016,סדרה 1,4,אוטומטית,1500.0,בנזין,ראשון לציון,78000.0,85000.0,מרכז
מאזדה,2009,3,3,אוטומטית,2000.0,בנזין,אור יהודה,27000.0,189000.0,מרכז
פולקסווגן,2011,גולף,2,אוטומטית,1600.0,בנזין,בוקעתא,25000.0,105000.0,מזרח
שברולט,2014,טראקס,3,אוטומטית,1800.0,בנזין,"פתח תקווה,יהוד",38000.0,113000.0,מזרח
הונדה,2009,FR-V,4,אוטומטית,2000.0,בנזין,ירושלים,34000.0,134000.0,מרכז
מאזדה,2013, 3,3,אוטומטית,2000.0,בנזין,אור עקיבא,24000.0,200000.0,מרכז
הונדה,2011,ACCORD,2,אוטומטית,2000.0,בנזין,קרית אתא,45000.0,130000.0,צפון
סוזוקי,2014, קרוסאובר,1,אוטומטית,1586.0,בנזין,רמת,48000.0,160000.0,מרכז
יונדאי,2019,i10,1,אוטומטית,1250.0,בנזין,ראשון לציון,61900.0,63000.0,מרכז
פולקסווגן,2014,שירוקו,5,ידנית,1400.0,בנזין,ראשון לציון,74000.0,110000.0,מרכז
סיטרואן,2016,C1,2,ידנית,1000.0,בנזין,אשקלון,25000.0,77780.0,דרום
רנו,2014, פלואנס,2,אוטומטית,1461.0,בנזין,רהט,34000.0,280000.0,מזרח
ניסאן,2017, סנטרה,2,אוטומטית,1800.0,בנזין,קרית ביאליק,40000.0,170000.0,צפון
הונדה,2009,ACCORD,5,אוטומטית,2000.0,בנזין,רחובות,40000.0,148000.0,מרכז
דייהטסו,2010,סיריון,3,אוטומטית,1300.0,בנזין,מבשרת ציון,19500.0,145000.0,מרכז
מיצובישי,2017,ספייס סטאר,1,אוטומטית,1200.0,בנזין,בת ים,42000.0,67000.0,מרכז
יונדאי,2017,סונטה,1,אוטומטית,1999.0,בנזין,עומר,99000.0,125300.0,דרום
יונדאי,2018,i10,2,אוטומטית,1250.0,בנזין,תל אביב יפו,60000.0,34900.0,מרכז
פולקסווגן,2010,פאסאט,6,טיפטרוניק,1800.0,בנזין,בית שמש,20000.0,160000.0,מזרח
פולקסווגן,2014,גולף,2,אוטומטית,1200.0,בנזין,אלמגור,42000.0,153000.0,מזרח
אופל,2014,אסטרה,1,אוטומטית,1400.0,בנזין,אשקלון,34000.0,122000.0,דרום
טויוטה,2017,קורולה,2,אוטומטית,1600.0,בנזין,כפר יעבץ,80000.0,92000.0,מרכז
מאזדה,2018, 3,3,אוטומטית,2000.0,בנזין,אשקלון,74500.0,52000.0,דרום
יונדאי,2017,i30,2,אוטומטית,1600.0,בנזין,קרית אתא,57000.0,146000.0,צפון
אאודי,2007, A3,2,אוטומטית,2000.0,בנזין,ירושלים,21000.0,150000.0,מרכז
יונדאי,2016,סונטה,2,אוטומטית,2000.0,בנזין,כאבול,89000.0,99000.0,מזרח
הונדה,2017,JAZZ,2,אוטומטית,1300.0,בנזין,הרצליה,59500.0,135000.0,מרכז
מיצובישי,2011,גרנדיס,2,אוטומטית,1600.0,בנזין,באקה אל-גרביה,37000.0,148722.0,מזרח
טויוטה,2014,פריוס,2,אוטומטית,1500.0,היברידי,אלעד,52500.0,125000.0,מרכז
סוזוקי,2018, סוויפט,1,אוטומטית,1200.0,בנזין,ירושלים,71000.0,83000.0,מרכז
טויוטה,2013,קורולה,3,אוטומטית,1600.0,בנזין,רמלה,51000.0,110000.0,מרכז
סקודה,2016, אוקטביה (2016),2,רובוטית,1200.0,בנזין,חיפה,66000.0,80500.0,צפון
סקודה,2015, סופרב (2015),4,אוטומטית,1800.0,בנזין,בת ים,50000.0,170000.0,מרכז
הונדה,2008,CIVIC,7,אוטומטית,1800.0,בנזין,גדרה,20000.0,180000.0,מרכז
טויוטה,2017,יאריס,1,אוטומטית,1300.0,בנזין,קרית אתא,68000.0,65000.0,צפון
קיה,2016,פרייד,1,אוטומטית,1591.0,בנזין,קרית טבעון,94000.0,105000.0,מזרח
מאזדה,2014, 6,5,אוטומטית,2000.0,בנזין,ירושלים,35000.0,194000.0,מרכז
סוזוקי,2019, קרוסאובר,1,אוטומטית,1400.0,בנזין,גבעתיים,98000.0,38000.0,מרכז
שברולט,2017,סלבריטי,1,אוטומטית,6600.0,דיזל,קרית מוצקין,95000.0,130000.0,צפון
קיה,2017,פיקנטו,2,אוטומטית,998.0,בנזין,אורנית,55000.0,82000.0,צפון
סובארו,2014,XV,3,אוטומטית,2000.0,בנזין,תל שבע,60000.0,260000.0,מזרח
פולקסווגן,2012,פולו,3,ידנית,1400.0,בנזין,רמת השרון,32000.0,116000.0,מרכז
פולקסווגן,2014,פאסאט CC,3,אוטומטית,1800.0,בנזין,כפר מנדא,55000.0,153000.0,מזרח
מיצובישי,2020,לנסר ספורטבק,2,אוטומטית,4200.0,גז,כפר סבא,35000.0,90000.0,מרכז
אאודי,2019, RS5,4,אוטומטית,4500.0,גז,תל אביב יפו,65000.0,7000.0,מרכז
הונדה,2016,CIVIC,2,אוטומטית,1800.0,בנזין,קרית אונו,70000.0,75000.0,מרכז
ניסאן,2018, מיקרה,2,ידנית,1200.0,בנזין,פתח תקווה,19000.0,186825.0,מרכז
מאזדה,2014, 5,3,אוטומטית,2000.0,בנזין,מודיעין מכבים רעות,68000.0,145000.0,מרכז
דייהטסו,2005,טריוס,3,אוטומטית,1300.0,בנזין,פוריידיס,20000.0,195695.501393741,מזרח
אאודי,2019, RS5,4,אוטומטית,4500.0,גז,ירושלים,65000.0,7000.0,מרכז
רנו,2013, פלואנס חשמלי,1,אוטומטית,1200.0,חשמלי,שער אפרים,25000.0,70000.0,מרכז
סקודה,2018,פאביה ספייס,1,אוטומטית,1000.0,בנזין,אשקלון,46990.0,129000.0,דרום
הונדה,2010,CIVIC,1,אוטומטית,1800.0,בנזין,זכריה,29000.0,124700.0,מזרח
ב.מ.וו,2010,120i,3,אוטומטית,2000.0,בנזין,ירושלים,40000.0,115000.0,מרכז
יונדאי,2022,i10,2,אוטומטית,1200.0,בנזין,פתח תקווה,73000.0,16800.0,מרכז
מאזדה,2012, 5,2,אוטומטית,2000.0,בנזין,בת ים,35000.0,250000.0,מרכז
יונדאי,2014,i30,4,אוטומטית,1600.0,בנזין,אלעד,37000.0,193000.0,מרכז
ב.מ.וו,2006,סדרה 5,6,אוטומטית,3000.0,בנזין,עין מאהל,25000.0,280000.0,מזרח
קיה,2019,פיקנטו,1,אוטומטית,1300.0,בנזין,חיפה,75000.0,35000.0,צפון
קיה,2014,פיקנטו,3,אוטומטית,1200.0,בנזין,מודיעין,31000.0,180000.0,מרכז
הונדה,2011,JAZZ,1,רובוטית,1300.0,בנזין,פרדס חנה כרכור,26000.0,197000.0,צפון
מיני,2013,קאונטרימן,2,אוטומטית,1600.0,בנזין,אשדוד,70000.0,70000.0,דרום
קיה,2016,פיקנטו,1,אוטומטית,1250.0,בנזין,פתח תקווה,55000.0,21000.0,מרכז
יונדאי,2019,i10,1,אוטומטית,1200.0,בנזין,מבשרת ציון,60000.0,64000.0,מרכז
סוזוקי,2020, סוויפט,2,אוטומטית,1242.0,בנזין,haifa,84500.0,18000.0,לא ידוע
פולקסווגן,2011,פולו,3,אוטומטית,1200.0,בנזין,יהוד מונוסון,21900.0,185000.0,מרכז
סובארו,2015,XV,2,אוטומטית,1600.0,בנזין,כפר מנדא,60000.0,55000.0,מזרח
טויוטה,2017,קורולה,1,אוטומטית,1598.0,בנזין,עספיא,90000.0,80000.0,צפון
יונדאי,2018,i25,1,אוטומטית,1400.0,בנזין,אשקלון,66000.0,55100.0,דרום
אופל,2013,אסטרה,1,אוטומטית,1400.0,בנזין,תל אביב יפו,30000.0,102000.0,מרכז
סקודה,2016," פאביה
 (2016)",2,אוטומטית,1197.0,בנזין,שריד,55000.0,112000.0,מזרח
מיצובישי,2015,אטראז',2,אוטומטית,80.0,בנזין,עץ אפרים,26000.0,120000.0,צפון
קיה,2016,נירו,2,אוטומטית,1400.0,בנזין,הרצליה,36000.0,145000.0,מרכז
קיה,2017,פיקנטו,2,אוטומטית,1200.0,בנזין,אשקלון,50000.0,160000.0,דרום
מרצדס,2002,220,3,אוטומטית,3200.0,בנזין,בית שמש,21000.0,219537.0015683286,מזרח
פולקסווגן,2012,ג`טה,2,אוטומטית,1200.0,בנזין,טייבה משולש,27000.0,200.0,מזרח
טויוטה,2014,קורולה,2,אוטומטית,1600.0,בנזין,אילת השחר,62000.0,1000.0,מזרח
אלפא רומיאו,2011, 159,2,רובוטית,3000.0,בנזין,נצרת עילית,36000.0,140000.0,צפון
קיה,2014,פיקנטו,1,ידנית,1000.0,בנזין,אחיטוב,24900.0,127000.0,צפון
אלפא רומיאו,2012, מיטו / MITO,3,ידנית,1400.0,בנזין,באר שבע,24999.0,122000.0,דרום
שברולט,2018,אקווינוקס,1,אוטומטית,1470.0,בנזין,חולון,84000.0,93000.0,מרכז
קיה,2019,ריו,3,אוטומטית,1400.0,בנזין,באר שבע,70000.0,66000.0,דרום
יונדאי,2019,איוניק,2,אוטומטית,1600.0,בנזין,אזור,82000.0,100000.0,מרכז
פיג'ו,2016,208,3,רובוטית,1200.0,בנזין,שער אפרים,25000.0,99000.0,מרכז
אאודי,2009, A6,3,אוטומטית,2800.0,בנזין,בני ברק,29000.0,165000.0,מרכז
הונדה,2015,ACCORD,2,אוטומטית,2000.0,בנזין,כרמיאל,57000.0,130000.0,צפון
ניסאן,2011, ג'וק JUKE,4,אוטומטית,1600.0,בנזין,חיפה,28000.0,135000.0,צפון
סקודה,2014, סופרב (2014),2,אוטומטית,1800.0,בנזין,ירושלים,40000.0,158600.0,מרכז
הונדה,2015,CIVIC,2,אוטומטית,1800.0,בנזין,הרצליה,65000.0,57000.0,מרכז
סובארו,2014,אימפרזה,3,אוטומטית,1600.0,בנזין,באר שבע,25000.0,187000.0,דרום
הונדה,2018,CIVIC,2,אוטומטית,988.0,בנזין,קריית אתא,67000.0,149000.0,מזרח
מאזדה,2008, 6,4,אוטומטית,2500.0,בנזין,לוד,23000.0,218000.0,מרכז
אופל,2013,אסטרה,3,אוטומטית,1400.0,בנזין,שוהם,22000.0,148214.0,מרכז
פולקסווגן,1983,חיפושית,3,ידנית,1400.0,בנזין,הרצליה,40000.0,370533.1693407111,מרכז
סקודה,2016, אוקטביה (2016),2,אוטומטית,1200.0,בנזין,נצרת,59300.0,155000.0,צפון
הונדה,2018,CIVIC,2,אוטומטית,1600.0,בנזין,רמת גן,72000.0,99000.0,מרכז
סקודה,2017,ראפיד,2,אוטומטית,1400.0,בנזין,נתניה,45000.0,175000.0,מרכז
מאזדה,2008,6,8,טיפטרוניק,2000.0,גז,נתיבות,23000.0,230000.0,דרום
סובארו,2009,B3,2,אוטומטית,2000.0,בנזין,חיפה,26500.0,164000.0,צפון
טויוטה,2013,ורסו,3,אוטומטית,1800.0,בנזין,אחיעזר,49000.0,194000.0,מרכז
אופל,2020,קורסה,1,אוטומטית,1200.0,בנזין,רמת השרון,82000.0,16500.0,מרכז
טויוטה,2016,פריוס,2,אוטומטית,1800.0,היברידי,פתח תקווה,80000.0,99822.0,מרכז
סוזוקי,2016, SX4,1,אוטומטית,1600.0,בנזין,אבן,69500.0,49600.0,מרכז
ב.מ.וו,2006,סדרה 5,3,אוטומטית,2500.0,בנזין,סח'נין,35000.0,220000.0,מזרח
אאודי,2012, A1,6,אוטומטית,1400.0,בנזין,בוקעתא,43000.0,120000.0,מזרח
פולקסווגן,2012,ג`טה,2,אוטומטית,1400.0,בנזין,כפר תבור,37000.0,200000.0,צפון
קיה,2015,פורטה,2,אוטומטית,1600.0,בנזין,אופקים,36000.0,141000.0,דרום
אופל,2013,אסטרה,2,אוטומטית,1400.0,בנזין,תל אביב יפו,29000.0,157000.0,מרכז
סקודה,2018,ייטי,1,אוטומטית,1600.0,בנזין,קריית טבעון,70000.0,98000.0,מזרח
קיה,2018,פיקנטו,2,אוטומטית,1000.0,בנזין,קרית מלאכי,45000.0,65000.0,דרום
אאודי,2009, A6,3,אוטומטית,2800.0,בנזין,בני ברק,29000.0,165000.0,מרכז
שברולט,2014,טראקס,2,ידנית,1364.0,בנזין,פתח תקווה,55000.0,140000.0,מרכז
אופל,2015,אדם,1,רובוטית,1400.0,בנזין,נצרת,35000.0,95000.0,צפון
סוזוקי,2016, SX4,3,אוטומטית,1600.0,בנזין,ק.אתא,72000.0,140000.0,לא ידוע
הונדה,2020,CIVIC,1,אוטומטית,1500.0,בנזין,אילת,95000.0,83000.0,דרום
הונדה,2013,CIVIC,3,אוטומטית,1800.0,בנזין,ירושלים,36000.0,168000.0,מרכז
פולקסווגן,2017,ג'טה,2,אוטומטית,1200.0,בנזין,עפולה,57000.0,140000.0,מזרח
הונדה,2015,CIVIC,1,אוטומטית,1600.0,בנזין,בת ים,49000.0,100000.0,מרכז
אלפא רומיאו,2015, ג'ולייטה,3,אוטומטית,1800.0,בנזין,חיפה,80000.0,180000.0,צפון
מאזדה,2009,5,2,אוטומטית,2000.0,בנזין,עוצם,22000.0,156000.0,דרום
הונדה,2014,CIVIC,2,אוטומטית,1798.0,בנזין,רעננה,47200.0,148000.0,מרכז
טויוטה,2017,פריוס,2,אוטומטית,1800.0,היברידי,אשקלון,73000.0,160000.0,דרום
הונדה,2016,JAZZ,2,אוטומטית,1300.0,בנזין,רעננה,51900.0,130000.0,מרכז
טויוטה,2013,קורולה,3,אוטומטית,1600.0,בנזין,נהריה,48000.0,176000.0,צפון
סובארו,2009,אימפרזה,3,ידנית,2500.0,בנזין,ירכא,95000.0,124000.0,מזרח
סוזוקי,2007, סדן,6,אוטומטית,1300.0,בנזין,ריחאניה,43000.0,179801.16794401594,לא ידוע
סקודה,2013, אוקטביה (2013),2,אוטומטית,1200.0,בנזין,עלי זהב,27000.0,165000.0,צפון
פולקסווגן,2015,פאסאט,2,אוטומטית,1800.0,בנזין,דימונה,72000.0,141000.0,דרום
פיג'ו,2016,308,2,אוטומטית,1200.0,בנזין,חדרה,25000.0,110000.0,צפון
ניסאן,2020, ג'וק JUKE,1,אוטומטית,1500.0,בנזין,באר שבע,75000.0,100000.0,דרום
מיצובישי,2014,אאוטלנדר,2,אוטומטית,2000.0,בנזין,ירושלים,69000.0,200.0,מרכז
סקודה,2016, אוקטביה (2016),2,אוטומטית,1197.0,בנזין,חשמונאים,55000.0,110000.0,מרכז
סקודה,2017,אוקטביה,2,אוטומטית,1200.0,בנזין,כפר יונה,66000.0,145000.0,מרכז
פולקסווגן,2016,גולף,2,אוטומטית,1400.0,בנזין,קדרון,61000.0,128000.0,מזרח
יונדאי,2017,סונטה,2,אוטומטית,2000.0,בנזין,באר שבע,90000.0,70000.0,דרום
קיה,2015,פיקנטו,2,אוטומטית,1248.0,בנזין,"גבעת כ""ח",35000.0,91800.0,מזרח
מאזדה,2007,5,1,אוטומטית,1999.0,בנזין,שריד,19900.0,200000.0,מזרח
רנו,2013, פלואנס,3,אוטומטית,1461.0,דיזל,קרית גת,45000.0,266000.0,דרום
יונדאי,2014,i10,2,אוטומטית,1248.0,בנזין,עכו,33000.0,118.0,צפון
פורד,2008,מוסטנג,1,אוטומטית,4000.0,בנזין,ירושלים,84000.0,120000.0,מרכז
לקסוס,2008,לקסוס GS300,3,אוטומטית,3000.0,בנזין,זמר,40000.0,240000.0,לא ידוע
פיג'ו,2015,508,3,אוטומטית,1600.0,בנזין,חיפה,25000.0,190000.0,צפון
הונדה,2015,ACCORD,1,אוטומטית,2000.0,היברידי,רמת גן,75000.0,172000.0,מרכז
סובארו,2015,XV,2,אוטומטית,2000.0,בנזין,רמת גן,74850.0,112000.0,מרכז
קיה,2012,פיקנטו,2,אוטומטית,1250.0,בנזין,שוהם,31000.0,119874.0,מרכז
סוזוקי,2019, בלנו,2,אוטומטית,1200.0,בנזין,פתח,73000.0,52000.0,מרכז
פולקסווגן,2018,גולף,2,אוטומטית,1400.0,בנזין,ראשון לציון,89000.0,61000.0,מרכז
לקסוס,2008,לקסוס RC,4,אוטומטית,3200.0,גז,בני ברק,60000.0,180000.0,מרכז
סקודה,2011, סופרב (2011),3,אוטומטית,1800.0,בנזין,באר שבע,27000.0,26000.0,דרום
פורד,2013,פוקוס,3,אוטומטית,1600.0,בנזין,אור עקיבא,23000.0,178000.0,מרכז
הונדה,2010,CIVIC,1,אוטומטית,1800.0,בנזין,ירושלים,33000.0,100300.0,מרכז
קיה,2015,פיקנטו,1,אוטומטית,1200.0,בנזין,תל אביב יפו,48000.0,50000.0,מרכז
סובארו,2008,B4,7,אוטומטית,2500.0,בנזין,אשדוד,22000.0,157000.0,דרום
יונדאי,2017,איוניק,1,אוטומטית,1600.0,היברידי,יובלים,84000.0,87000.0,צפון
יונדאי,2017,i10,1,אוטומטית,1250.0,בנזין,תל אבייב,47500.0,126600.0,מזרח
יונדאי,2011,i30CW,4,אוטומטית,1600.0,בנזין,נצרת עילית,19000.0,225000.0,צפון
סובארו,2015,XV,2,אוטומטית,1600.0,בנזין,יבנה,65000.0,120000.0,מרכז
ניסאן,2017, מיקרה,2,ידנית,1200.0,בנזין,כרמיאל,24000.0,180000.0,צפון
הונדה,2011,CIVIC,3,אוטומטית,1800.0,בנזין,חדרה,29000.0,180000.0,צפון
קיה,2015,פיקנטו,1,אוטומטית,1250.0,בנזין,ראשון לציון,43500.0,57000.0,מרכז
הונדה,2016,CIVIC,1,אוטומטית,1800.0,בנזין,רמת גן,60000.0,44000.0,מרכז
סוזוקי,2018, קרוסאובר,1,אוטומטית,1374.0,בנזין,הרצליה,91000.0,61000.0,מרכז
קיה,2018,פיקנטו,1,אוטומטית,1400.0,בנזין,רחובות,63700.0,12000.0,מרכז
טויוטה,2013,יאריס,2,אוטומטית,1470.0,היברידי,ראשון לציון,42000.0,167000.0,מרכז
הונדה,2016,CIVIC,2,אוטומטית,1800.0,בנזין,קרית אונו,70000.0,75000.0,מרכז
מיצובישי,2012,אאוטלנדר,1,אוטומטית,2000.0,בנזין,דימונה,45500.0,146000.0,דרום
ב.מ.וו,2010,סדרה 1,4,אוטומטית,2000.0,בנזין,בת ים,33000.0,160000.0,מרכז
סוזוקי,2018, סוויפט החדשה,1,אוטומטית,1250.0,בנזין,פוריה,69000.0,60000.0,צפון
טויוטה,2018,יאריס,2,אוטומטית,1497.0,היברידי,ראשון לציון,77000.0,90000.0,מרכז
ניסאן,2020, מיקרה,2,ידנית,1000.0,בנזין,חיפה,52500.0,70000.0,צפון
ב.מ.וו,2012,סדרה 1,5,אוטומטית,1600.0,בנזין,ירושלים,60000.0,129000.0,מרכז
מאזדה,2009,3,4,אוטומטית,2000.0,בנזין,פתח תקווה,25500.0,163906.83449429087,מרכז
הונדה,2017,JAZZ,2,אוטומטית,1100.0,בנזין,אשקלון,52000.0,150000.0,דרום
הונדה,2017,JAZZ,1,אוטומטית,1318.0,בנזין,ירושלים,70000.0,43000.0,מרכז
סיטרואן,2017,C4,2,אוטומטית,1400.0,בנזין,מודיעין מכבים רעות,56500.0,125000.0,מרכז
קיה,2016,פיקנטו,1,אוטומטית,1250.0,בנזין,פתח תקווה,51500.0,110000.0,מרכז
סקודה,2013, סופרב (2013),3,אוטומטית,2000.0,בנזין,ירושלים,36000.0,222.0,מרכז
סקודה,2016," אוקטביה ספייס
 (2016)",2,אוטומטית,1197.0,בנזין,"פ""ת",62000.0,93500.0,מזרח
יונדאי,2013,ולוסטר,5,אוטומטית,1600.0,בנזין,נס ציונה,42000.0,180.0,מרכז
אאודי,2015, A4,2,אוטומטית,1798.0,בנזין,חיפה,85000.0,99.0,צפון
אאודי,2013, A3,2,אוטומטית,1800.0,בנזין,טירת כרמל,67000.0,180000.0,צפון
הונדה,2018,CIVIC,1,אוטומטית,1000.0,בנזין,אבן יהודה,79000.0,79000.0,מרכז
פולקסווגן,2012,ג`טה,1,אוטומטית,1400.0,בנזין,נתניה,33000.0,90000.0,מרכז
יונדאי,2016,i30,2,אוטומטית,1500.0,בנזין,כפר סבא,63000.0,105000.0,מרכז
סיטרואן,2018,C4,1,אוטומטית,1200.0,בנזין,שוהם,65000.0,56000.0,מרכז
הונדה,2017,CIVIC,2,אוטומטית,1798.0,בנזין,Rishon LeTsiyon,54900.0,122000.0,מזרח
הונדה,2018,CIVIC,1,אוטומטית,1800.0,בנזין,ראשון לציון,86900.0,66400.0,מרכז
דייהטסו,2010,טריוס,3,אוטומטית,1495.0,בנזין,פרדס חנה כרכור,37700.0,165000.0,צפון
מאזדה,2009,3,4,אוטומטית,1600.0,בנזין,גבעתי,20000.0,157000.0,מזרח
יונדאי,2021,i20,2,אוטומטית,1000.0,בנזין,יהוד,87000.0,9450.0,מזרח
פולקסווגן,2011,גולף,8,אוטומטית,1400.0,בנזין,עטרת,35500.0,165000.0,מזרח
סיטרואן,2021,C3,1,אוטומטית,1200.0,בנזין,עפולה,90000.0,16500.0,מזרח
פולקסווגן,2015,פאסאט,1,אוטומטית,1400.0,בנזין,חיפה,70000.0,17000.0,צפון
שברולט,2017,מאליבו,2,אוטומטית,1500.0,בנזין,בית שאן,75000.0,65000.0,צפון
יונדאי,2019,איוניק,1,אוטומטית,2000.0,בנזין,ירושלים,80000.0,220000.0,מרכז
סקודה,2015, אוקטביה ספייס (2015),2,אוטומטית,1200.0,בנזין,פתח תקווה,42000.0,217000.0,מרכז
ניסאן,2014, ג'וק JUKE,4,אוטומטית,1600.0,בנזין,בית שמש,41000.0,72000.0,מזרח
מרצדס,2019, E-Class,4,אוטומטית,2500.0,בנזין,נתניה,86000.0,6351.0,מרכז
יונדאי,2018,i10,2,אוטומטית,1000.0,בנזין,גדרה,58000.0,56000.0,מרכז
טויוטה,2017,אוריס,1,אוטומטית,1800.0,היברידי,אשדוד,77000.0,80000.0,דרום
הונדה,2008,ACCORD,1,אוטומטית,1998.0,בנזין,אשדוד,24000.0,130928.0,דרום
יונדאי,2016,i25,1,אוטומטית,1600.0,בנזין,בת ים,45000.0,130000.0,מרכז
סקודה,2016, אוקטביה (2016),3,אוטומטית,1200.0,בנזין,ירושלים,67000.0,170000.0,מרכז
רנו,2013, פלואנס,4,אוטומטית,1400.0,דיזל,אשקלון,26000.0,180000.0,דרום
סוזוקי,2017, קרוסאובר,1,אוטומטית,1400.0,בנזין,בית,74000.0,127000.0,מרכז
קיה,2018,פיקנטו,1,אוטומטית,1200.0,בנזין,הוד השרון,68000.0,31700.0,מרכז
הונדה,2017,JAZZ,1,אוטומטית,1000.0,בנזין,כפר יונה,50000.0,90000.0,מרכז
יונדאי,2016,i10,2,אוטומטית,1250.0,בנזין,חיננית,47000.0,90000.0,צפון
