manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,City,Price,Km,Region
אאודי,2014, S7,1,אוטומטית,2800.0,בנזין,אשדוד,55000.0,100000.0,דרום
טויוטה,2014,קורולה,1,אוטומטית,1600.0,בנזין,באקה,52000.0,160000.0,מזרח
שברולט,1988,אפלנדר,2,אוטומטית,6500.0,דיזל,גבעת שמואל,24000.0,250000.0,מרכז
סובארו,2015,SVX,3,אוטומטית,2000.0,בנזין,להבים,38500.0,116223.83414511755,דרום
אאודי,2014, A1,3,אוטומטית,1400.0,בנזין,ירושלים,55000.0,130000.0,מרכז
סוזוקי,2021, איגניס,1,אוטומטית,1200.0,היברידי,יוקנעם,82000.0,44000.0,צפון
יונדאי,2015,i10,3,אוטומטית,1000.0,בנזין,באקה א שרקיה,38500.0,115000.0,מזרח
קיה,2014,פורטה,3,אוטומטית,1600.0,בנזין,רחובות,24000.0,180174.0,מרכז
מיצובישי,2021,ספייס סטאר,1,אוטומטית,1200.0,בנזין,נתניה,76000.0,6000.0,מרכז
לקסוס,2014,לקסוס IS300h,3,אוטומטית,2500.0,היברידי,ברקת,82000.0,219000.0,מרכז
קיה,2014,פיקנטו,3,אוטומטית,1200.0,בנזין,מגדל העמק,43000.0,130000.0,מזרח
קרייזלר,2012,"גראנד, וויאג'ר",3,אוטומטית,3600.0,בנזין,נתניה,41000.0,162000.0,מרכז
מאזדה,2014, 3,3,ידנית,1600.0,בנזין,בית שמש,50000.0,170000.0,מזרח
סיטרואן,2019,C4,2,אוטומטית,1199.0,בנזין,רחובות,88000.0,32000.0,מרכז
פיג'ו,2014,2008,3,אוטומטית,1600.0,בנזין,מגדל העמק,33000.0,148000.0,מזרח
קיה,2018,סטוניק,2,אוטומטית,1000.0,בנזין,מבשרת ציון,73000.0,100000.0,מרכז
פולקסווגן,2011,פולו,3,אוטומטית,1200.0,בנזין,כרמיאל,45000.0,62000.0,צפון
וולוו,2016,S60,2,טיפטרוניק,2000.0,בנזין,שוהם,60000.0,110000.0,מרכז
יונדאי,2015,i10,1,אוטומטית,1250.0,בנזין,עכו,37000.0,180000.0,צפון
אאודי,2019, RS5,4,אוטומטית,4500.0,גז,חיפה,65000.0,7000.0,צפון
הונדה,2014,ג'אז הייבריד,1,אוטומטית,1300.0,היברידי,רמת גן,49500.0,120000.0,מרכז
סוזוקי,2016, SX4,2,אוטומטית,1600.0,בנזין,פרדס,80500.0,110000.0,מרכז
פולקסווגן,2012,ג`טה,2,אוטומטית,1400.0,בנזין,בית שמש,28000.0,146000.0,מזרח
אאודי,2009, A4,3,אוטומטית,2000.0,בנזין,עפולה,40000.0,163906.83449429087,מזרח
טויוטה,2018,קורולה,1,אוטומטית,1600.0,בנזין,חדרה,74999.0,128000.0,צפון
פורד,2013,אס-מקס,2,אוטומטית,2200.0,בנזין,פתח תקווה,29000.0,133000.0,מרכז
קיה,2018,נירו,1,אוטומטית,1600.0,היברידי,גבעתיים,92000.0,88100.0,מרכז
הונדה,2011,אינסייט,3,אוטומטית,1200.0,בנזין,אשקלון,22000.0,270.0,דרום
שברולט,2016,ספארק,2,אוטומטית,1399.0,בנזין,ראשון לציון,40000.0,108000.0,מרכז
יונדאי,2012,i10,3,אוטומטית,1200.0,בנזין,נתניה,24000.0,146000.0,מרכז
רנו,2013, קליאו,2,אוטומטית,1200.0,בנזין,ירושלים,37000.0,78000.0,מרכז
סיטרואן,2016,C4,3,אוטומטית,1600.0,דיזל,קרית מלאכי,28000.0,260009.0,דרום
מאזדה,2009,3,3,אוטומטית,1600.0,בנזין,כפר סבא,19500.0,130000.0,מרכז
אאודי,2019, All Road,2,טיפטרוניק,1600.0,היברידי,חיפה,95000.0,140000.0,צפון
יונדאי,2011,i10,2,אוטומטית,1100.0,בנזין,תל מונד,19850.0,121200.0,מרכז
פולקסווגן,2013,פאסאט CC,3,אוטומטית,1800.0,בנזין,ראש פינה,52000.0,133000.0,צפון
פולקסווגן,2012,גולף,1,אוטומטית,1400.0,בנזין,באקה אל-גרביה,30000.0,250000.0,מזרח
קיה,2014,פיקנטו,3,אוטומטית,1250.0,בנזין,רחובות,40000.0,100000.0,מרכז
מרצדס,2009, S-Class,4,אוטומטית,1400.0,בנזין,רמת גן,79000.0,290000.0,מרכז
פורד,2012,פוקוס,4,רובוטית,1600.0,בנזין,ירושלים,18400.0,195978.0,מרכז
קיה,2015,פורטה,1,אוטומטית,1600.0,בנזין,תנובות,73000.0,60000.0,מרכז
מאזדה,2015, 3,3,אוטומטית,1500.0,בנזין,ירושלים,36999.0,200000.0,מרכז
